19.1.2.19. Gyümölcstermelés vármegye és régió szerint;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Dunántúl;nagyrégió;12 241;11 708;7 321;10 559;12 032;12 675;13 618;11 688;17 762;20 911;9 974;15 722;11 822;15 434;17 725;16 947;15 590;14 677;16 058;14 928;16 732;14 176;13 142;9 491
Borsod-Abaúj-Zemplén;vármegye;1 783;1 555;1 533;1 864;2 714;2 890;1 753;1 356;1 730;2 317;1 216;1 668;930;1 472;2 174;1 982;2 066;1 850;2 565;1 364;708;972;971;706
Heves;vármegye;1 506;1 453;1 104;2 644;19 560;2 780;2 799;1 369;1 577;3 840;5 030;5 098;5 451;4 975;6 194;6 107;6 332;5 740;6 186;8 502;8 236;7 746;9 089;6 238
Nógrád;vármegye;590;502;681;400;1 041;498;307;194;421;506;255;241;372;317;270;241;342;314;462;286;519;623;708;714
Észak-Magyarország;régió;3 879;3 510;3 318;4 908;23 315;6 168;4 859;2 919;3 728;6 663;6 501;7 007;6 753;6 764;8 638;8 330;8 740;7 904;9 213;10 152;9 463;9 341;10 768;7 658
Hajdú-Bihar;vármegye;2 500;2 400;2 400;2 434;3 045;1 600;2 486;1 107;2 724;3 010;2 654;3 250;3 420;3 112;5 495;5 140;5 062;5 281;7 043;4 524;2 534;3 042;2 856;3 296
Jász-Nagykun-Szolnok;vármegye;1 969;2 787;1 937;1 020;1 728;840;1 690;898;1 433;2 410;664;1 318;1 219;1 798;1 953;1 222;1 321;1 181;988;723;1 125;1 054;1 114;721
Szabolcs-Szatmár-Bereg;vármegye;13 000;19 009;15 207;16 870;17 500;10 422;10 861;10 339;19 356;18 829;13 431;11 210;14 573;15 175;26 823;25 447;18 197;15 714;20 839;13 345;19 138;20 874;24 902;23 435
Észak-Alföld;régió;17 469;24 196;19 544;20 324;22 273;12 862;15 037;12 344;23 513;24 249;16 749;15 778;19 212;20 085;34 271;31 809;24 580;22 176;28 870;18 592;22 797;24 970;28 872;27 452
Bács-Kiskun;vármegye;3 926;4 212;2 530;6 314;9 742;9 139;17 900;8 112;13 943;15 073;9 324;10 781;5 464;10 154;13 818;6 929;12 656;12 171;15 844;10 051;6 409;4 723;4 406;4 117
Békés;vármegye;678;470;520;676;1 031;634;1 070;1 209;1 112;1 397;1 025;1 313;784;1 351;1 787;1 595;1 728;1 598;1 659;869;1 040;1 120;1 220;1 202
Csongrád-Csanád;vármegye;481;560;1 358;1 400;2 487;1 983;1 813;1 047;985;900;818;528;136;765;671;300;737;853;836;261;558;395;537;471
Dél-Alföld;régió;5 085;5 242;4 408;8 390;13 260;11 756;20 783;10 368;16 040;17 370;11 167;12 622;6 384;12 270;16 276;8 824;15 121;14 622;18 339;11 181;8 007;6 238;6 163;5 790
Alföld és Észak;nagyrégió;26 433;32 948;27 270;33 622;58 848;30 786;40 679;25 631;43 281;48 282;34 417;35 407;32 349;39 118;59 185;48 963;48 441;44 702;56 422;39 925;40 267;40 549;45 803;40 900
Ország összesen;ország;48 894;56 016;38 150;48 654;77 153;48 082;60 177;42 572;68 155;78 752;51 870;61 735;53 425;70 414;91 845;76 792;73 591;69 757;83 566;62 702;61 455;60 528;65 862;55 662
szilva és ringlószilva;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;1 700;1 785;950;390;924;854;624;69;123;105;130;75;236;272;180;219;370;319;291;369;5;4;1;3
Pest;vármegye, régió;13 000;14 300;5 593;4 470;6 380;5 804;6 007;1 778;4 636;4 684;5 493;5 333;9 259;10 183;5 993;7 193;7 527;6 199;7 320;6 227;3 104;3 287;3 172;4 324
Közép-Magyarország;nagyrégió;14 700;16 085;6 543;4 860;7 304;6 658;6 631;1 847;4 759;4 789;5 623;5 408;9 495;10 455;6 173;7 412;7 897;6 518;7 611;6 596;3 109;3 291;3 173;4 327
Fejér;vármegye;4 152;3 137;2 619;2 245;4 434;2 628;2 438;1 387;1 727;1 036;989;890;945;1 061;1 532;2 550;1 151;923;936;943;954;760;1 152;978
Komárom-Esztergom;vármegye;1 823;1 670;1 600;453;480;540;945;659;725;545;455;436;430;363;302;647;438;433;468;475;120;120;78;74
Veszprém;vármegye;1 399;1 421;463;289;515;570;499;777;1 074;714;1 072;695;1 272;900;985;1 176;846;481;328;620;153;131;210;191
Közép-Dunántúl;régió;7 374;6 228;4 682;2 987;5 429;3 738;3 882;2 823;3 526;2 295;2 516;2 021;2 646;2 324;2 819;4 373;2 435;1 837;1 732;2 038;1 227;1 011;1 440;1 243
